,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,Kotlin
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,auction-gym,Jupyter Notebook
45,autotrail,Python
46,aws-apigateway-client-lib,
47,aws-sigv4-signing-samples,Java
48,awsssmchaosrunner,Kotlin
49,basis-point-sets,Python
50,buy-with-prime-automate-tenant-validation,JavaScript
51,buy-with-prime-event-accelerator,Python
52,buy-with-prime-oauth-handler-ec2,JavaScript
53,buy-with-prime-saas-integration,TypeScript
54,chalet-charging-location-for-electric-trucks,Python
55,computer-vision-basics-in-microsoft-excel,
56,confident-sinkhorn-allocation,Jupyter Notebook
57,convolutional-handwriting-gan,Python
58,cosearcher,Python
59,credence-to-causal-estimation,Python
