,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,apache-pyiceberg,Java
5,archaius,Java
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,codec_compare,Python
25,concurrency-limits,Java
26,conductor,Java
27,conductor-community,Java
28,conductor-docs,Python
29,conductor-ui,JavaScript
30,consoleme,Python
31,curator,Java
32,denominator,Java
33,derand,Java
34,dgs,HTML
35,dgs-codegen,Kotlin
36,dgs-examples-java,Java
37,dgs-examples-java-2.7,Java
38,dgs-examples-java.latest,Java
39,dgs-examples-java16,Java
40,dgs-examples-kotlin,Kotlin
41,dgs-examples-kotlin-2.7,Kotlin
42,dgs-examples-webflux,Java
43,dgs-federation-example,Kotlin
44,dgs-framework,Kotlin
45,dgs-intellij-plugin,Kotlin
46,dial-reference,C
47,dispatch,Python
48,dispatch-docker,Shell
49,dyno,Java
50,dyno-queues,Java
51,dynomite,C
52,dynomite-manager,Java
53,e2nest,Python
54,eclipse-jifa,Java
55,eclipse-mat,
56,edda,Scala
57,edda-client,Java
58,element-server,JavaScript
59,ember-batch-request,JavaScript
