,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel-tools,Java
18,beam,Java
19,big-data-rosetta-code,Scala
20,bigtable-autoscaler,Java
21,boilerplate-app,
22,bucket-runner,JavaScript
23,cartography,Python
24,cassandra-extra,Java
25,cassandra-medusa,Python
26,cassandra-opstools,Java
27,cassandra-reaper,
28,certcheck,Python
29,chartify,Python
30,code-of-conduct,
31,collectd,C
32,comet,Python
33,comet-common,Python
34,comet-core,Python
35,completable-futures,Java
36,condor,Java
37,confidence,Python
38,confidence-openfeature-provider-go,Go
39,confidence-openfeature-provider-java,Java
40,confidence-openfeature-provider-js,TypeScript
41,confidence-openfeature-provider-kotlin,Kotlin
42,confidence-openfeature-provider-python,Python
43,confidence-openfeature-provider-swift,Swift
44,container-agent,Python
45,cookiecutter-golang,Go
46,coordinator,HTML
47,crtauth,Python
48,crtauth-java,Java
49,crtauth-java-agent-signer-apache,Java
50,crunch-lib,Java
51,cstar,Python
52,daemon-java,Java
53,dataenum,Java
54,DataflowJavaSDK,Java
55,dataproc-java-submitter,Java
56,dataprocxy,Python
57,dbeam,Java
58,debify,Shell
59,dh-virtualenv,Python
